ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
91 PFT10clonal2 100 0.05 1 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
92 PFT11clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
93 PFT12clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
94 PFT13clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
95 PFT14clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
96 PFT15clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
97 PFT16clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
98 PFT17clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
99 PFT18clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
100 PFT19clonal2 100 0.05 1 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
101 PFT20clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
102 PFT21clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
103 PFT22clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
104 PFT23clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
105 PFT24clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
106 PFT25clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
107 PFT26clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
108 PFT27clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
109 PFT28clonal2 100 0.05 1 1 5000 1 0.1 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
110 PFT29clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
111 PFT30clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
112 PFT31clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
113 PFT32clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
114 PFT33clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
115 PFT34clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
116 PFT35clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
117 PFT36clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
118 PFT37clonal2 100 0.05 1 1 5000 1 0.1 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
119 PFT38clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
120 PFT39clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
121 PFT40clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
122 PFT41clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
123 PFT42clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
124 PFT43clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
125 PFT44clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
